year,month,date,day,time,lineup,canceled,postponed,soldOut

2020,September,23,Wed,7:00pm,Amorphis canceled | Entombed AD | Nervosa,True,False,False

2020,September,24,Thu,6:00pm,Matt Wilson  his Orchestra  canceled,True,False,False

2020,September,27,Sun,5:00pm,Wednesday 13 canceled | The Haxans | Dead Girls Academy,True,False,False

2020,August,2,Sun,6:00pm,Nobodys Girl postponed,False,True,False

2020,August,16,Sun,9:30pm,Frogleg canceled,True,False,False

2020,July,15,Wed,5:00pm,So This is Suffering canceled | Dirty Sprite | Drowning Life | Brevity,True,False,False

2020,July,18,Sat,6:00pm,Porter Union canceled,True,False,False

2020,July,19,Sun,6:00pm,Slow Mass canceled | Karen Meat | Huxley Maxwell,True,False,False

2020,July,29,Wed,6:00pm,Michigan Rattlers postponed | The Cerny Brothers,False,True,False

2020,June,2,Tue,5:00pm,Acid Witch canceled | Traffic Death | Gore God,True,False,False

2020,June,11,Thu,6:00pm,Yam Haus postponed,False,True,False

2020,June,12,Fri,7:00pm,Dog Fashion Disco canceled,True,False,False

2020,June,17,Wed,7:00pm,mmmonika canceled,True,False,False

2020,June,22,Mon,7:00pm,Uli Jon Roth canceled,True,False,False

2020,June,23,Tue,8:00pm,King Buzzo featuring Trevor Dunn canceled,True,False,False

2020,June,30,Tue,6:00pm,Almost Honest canceled | Superquiet | Display Case,True,False,False

2020,May,1,Fri,9:30pm,Tires postponed | Gleaner | Lizard McGuire and the Marshmallows,False,True,False

2020,May,2,Sat,8:00pm,Polica postponed | Wilsen,False,True,False

2020,May,4,Mon,6:00pm,OSHUN postponed,False,True,False

2020,May,6,Wed,6:00pm,Emily Blue postponed,False,True,False

2020,May,7,Thu,5:00pm,Ouija Macc postponed | Rozz Dyliams | Death Plus | Kill Phantomb | Kid Vibe,False,True,False

2020,May,7,Thu,9:30pm,Nolan Potters Nightmare Band postponed | Huxley Maxwell,False,True,False

2020,May,8,Fri,5:30pm,Hold For Swank postponed | BainMarie | The Whiskee Shakes | Stanwood Charlie,False,True,False

2020,May,9,Sat,7:00pm,Donovan Woods  The Opposition canceled | Emily Brimlow,True,False,False

2020,May,10,Sun,8:00pm,Choir Boy canceled,True,False,False

2020,May,15,Fri,6:00pm,Tim Stop postponed,False,True,False

2020,May,16,Sat,7:00pm,Dan Tedesco postponed,False,True,False

2020,May,20,Wed,5:30pm,Dressy Bessy canceled | Gloom Balloon | Major Zero | Wine Jine Flynner,True,False,False

2020,May,22,Fri,6:00pm,Flotsam and Jetsam postponed,False,True,False

2020,May,23,Sat,6:00pm,Hinds canceled | The Shivas,True,False,False

2020,May,23,Sat,9:30pm,Jack Lion postponed | Wave Cage | Des Funk,False,True,False

2020,May,24,Sun,6:00pm,Steve Hofstetter postponed,False,True,False

2020,May,28,Thu,6:30pm,Ray Scott postponed,False,True,False

2020,May,29,Fri,7:00pm,The Host Country postponed | Pink Neighbor | Joel Sires of Twins,False,True,False

2020,May,30,Sat,6:00pm,Lyric XPress Music Showcase canceled,True,False,False

2020,May,30,Sat,9:30pm,Des Moines Up In Smoke postponed,False,True,False

2020,April,1,Wed,6:00pm,Packy canceled | Apollo | Entre Luche | James,True,False,False

2020,April,2,Thu,6:00pm,C.W. Stoneking postponed,False,True,False

2020,April,2,Thu,9:30pm,Scky Rei postponed | Scotty Pee | Juliano Dock | Chill Mac,False,True,False

